Creator,Platform,Post Type,Date,Caption,Post URL,Views,Likes,Comments,Shares,Impressions
,YouTube,,,,https://www.youtube.com/watch?v=JIv8bzu96Fk,,,,,
,Instagram,,,,https://www.instagram.com/reel/,,,,,
,Instagram,,,,https://www.instagram.com/p/,,,,,
,YouTube,,,,https://www.youtube.com/watch?v=9srsP9BptmQ,,,,,
,TikTok,,,,https://www.tiktok.com/@alvazqueztv/video/7404575824592031022,,,,,
,TikTok,,,,https://www.tiktok.com/@forrestsautoreviews/video/7359607011593735470,,,,,
,TikTok,,,,https://www.tiktok.com/@forrestsautoreviews/video/7454205410833190186,,,,,
,YouTube,,,,https://www.youtube.com/watch?v=GQSXA2QqkNg,,,,,
,Instagram,,,,https://www.instagram.com/carsandbids/,,,,,
,YouTube,,,,https://www.youtube.com/watch?v=OkM1JdN_qnA,,,,,
