Office,Make,Fleet,Model,WO #,WO Link,To,Media Link,Affiliation,Start Date,End Date,Purpose,Client Requested,Model Short Name,Links,Person ID
Dallas,Audi,Audi PR - Press,Q6 e-tron Prestige,1184739,https://fms.driveshop.com/activities/edit/1116496,Alexander Stoklosa,https://fms.driveshop.com/people/edit/13980,Motortrend,3/3/25,3/10/25,Review,,Q6 e-tron,https://www.motortrend.com/car-reviews,13980
Chicago,Volkswagen,VW Press Fleet,Jetta GLI Autobahn,1201562,https://fms.driveshop.com/activities/edit/1132893,Anthony Fongaro,https://fms.driveshop.com/people/edit/14630,The Gentleman Racer,5/5/25,5/12/25,Review,,Jetta,https://thegentlemanracer.com/,14630
San Francisco,Hyundai,Hyundai Press,Kona Limited AWD,1202290,https://fms.driveshop.com/activities/edit/1133621,Angel Mosqueda,https://fms.driveshop.com/people/edit/8567,Car Fanatics,4/23/25,4/29/25,Review,,Kona,https://carfanaticsblog.com/category/news/reviews/,8567
Dallas,Toyota,Toyota Press - Gulf States,Corolla FX,1193769,https://fms.driveshop.com/activities/edit/1125278,Amy Plemons,https://fms.driveshop.com/people/edit/9655,Car Pro USA,3/10/25,3/17/25,Review,,Corolla,https://www.carpro.com/resources/vehicle-reviews,9655
Chicago,Mazda,Mazda Press,Mazda3 Hatch Turbo Premium Plus,1183016,https://fms.driveshop.com/activities/edit/1114778,Ahmed  Ibraheem,https://fms.driveshop.com/people/edit/16080,The Car Care Nut Channel,2/4/25,2/11/25,Review,,Mazda3,https://www.youtube.com/@TheCarCareNutReviews/videos,16080
Chicago,Honda,Honda Chicago,Prologue AWD Elite,1183020,https://fms.driveshop.com/activities/edit/1114782,Ahmed  Ibraheem,https://fms.driveshop.com/people/edit/16080,The Car Care Nut Channel,3/4/25,3/11/25,Review,,Prologue,https://www.youtube.com/@TheCarCareNutReviews/videos,16080
Phoenix,Acura,Acura West,RDX SH-AWD A-Spec w/Advance,1196772,https://fms.driveshop.com/activities/edit/1128267,Andrew (AJ) Keller,https://fms.driveshop.com/people/edit/16533,youtube.com/c/TheCarReviewGuys/,4/3/25,4/10/25,Review,,RDX,https://www.youtube.com/@TheCarReviewGuys/videos,16533
Miami,Honda,Honda Miami,Accord Hybrid Touring,1202940,https://fms.driveshop.com/activities/edit/1134271,Amanda  Cline,https://fms.driveshop.com/people/edit/16873,HotCars.com,4/22/25,4/29/25,Review,,Accord,https://www.hotcars.com/category/car-reviews/,16873
Miami,Lexus,Toyota Press - East,LX 700h F Sport,1202081,https://fms.driveshop.com/activities/edit/1133412,Amanda  Cline,https://fms.driveshop.com/people/edit/16873,HotCars.com,04/15/25,04/22/25,Review,,LX,https://www.hotcars.com/category/car-reviews/,16873
New York,Toyota,Toyota Press - East,4Runner TRD Sport,1189597,https://fms.driveshop.com/activities/edit/1121231,Andrew Collins,https://fms.driveshop.com/people/edit/8884,The Drive,03/14/25,03/21/25,Review,,4Runner,https://www.thedrive.com/category/car-reviews,8884
Dallas,Honda,Honda Dallas,Civic Sport Touring Hybrid,1190027,https://fms.driveshop.com/activities/edit/1121657,Austin Lott,https://fms.driveshop.com/people/edit/18278,Capital One | Auto Navigator,04/01/25,04/03/25,Review,,Civic,https://www.youtube.com/@CapitalOneAutoNavigator/videos,18278
